period,publish_date,cpi_yoy,cpi_mom,ppi_yoy,ppi_mom,title,author,summary,key_points,source_url,cached_at
2026-02,,1.0,0.9,,,,EN\n搜索\n首页\n机构\n新闻\n数据\n公开\n服务\n互动\n知识\n专题\n国家统计局城市司首席统计师董莉娟,2月份，受春节因素影响，居民消费价格指数（CPI）环比上涨1.0%，同比上涨1.3%，扣除食品和能源价格的核心CPI同比上涨1.8%。,"[""统计师董莉娟解读2026年2月份CPI和PPI数据\\n\\n\\n\\n2月份，受春节因素影响，居民消费价格指数（CPI）环比上涨1.0%，同比上涨1.3%，扣除食品和能源价格的核心CPI同"", ""受国际大宗商品价格上行，国内部分行业需求快速增长、宏观政策持续显效等因素影响，全国PPI环比上涨0.4%，同比下降0.9%，降幅连续收窄"", ""环比看，全国CPI涨幅由上月的0.2%扩大至1.0%，为近两年来最高，主要是受春节假期较长消费需求集中释放影响，服务价格上涨较多，涨幅高于季节性水平"", ""服务中，飞机票、交通工具租赁、旅行社收费和宾馆住宿价格由上月下降转为分别上涨29.1%、19.8%、12.5%和5.4%；宠"", ""物服务、车辆修理与保养、家政服务、外卖餐饮价格分别上涨13.0%、12.0%、6.3%和5.6%；电影及演出票价格下降1.1%；房屋租赁进入淡季，房租价格下降0.6%""]",https://www.stats.gov.cn/sj/sjjd/202603/t20260309_1962728.html,2026-03-26T11:34:31.058824
2026-03,2026-03-16,0.8,0.7,0.9,,,,2月份，服务业生产指数同比增长5.2%，增速比上年12月份加快0.2个百分点。,"[""1—2月份，我国居民消费价格同比上涨0.8%，涨幅和上年12月份持平，但比上年四季度和上年全年都"", ""是回升的；我们知道，食品和能源对于价格波动影响比较大，1—2月份扣除食品和能源的核心CPI同比上涨1.3%，涨幅比上年12月份扩大"", ""工业生产者出厂价格的改善，主要是由于国内部分行业需求扩大，新动能成长对工业品价格的带动，以及部分国际大宗商品价格上涨这些因素共同推动的结果"", ""1—2月份固定资产投资同比增长1.8%，而上年全年固定资产投资下降3.8%，实现由降转增的变化"", ""今年以来，工业生产者出厂价格整体上呈现同比降幅收窄的态势，2月份PPI同比下降0.9%，降幅比上月收窄0.5个百分点，同比降幅连续3个月收""]",https://www.stats.gov.cn/sj/sjjd/202603/t20260316_1962795.html,2026-04-01T22:54:48.075776
