period,cpi_yoy,cpi_mom,cpi_accum,ppi_yoy,ppi_accum,ppi_cpi_spread,pmi_mfg,pmi_svc,source
2026-02,1.3,1.0,0.8,-0.9,-1.2,-2.2,49.0,49.5,eastmoney
2026-03,1.3,1.0,0.8,-0.9,-1.2,-2.2,50.4,50.1,eastmoney
