period,time_str,gdp_yoy,p1_yoy,p2_yoy,p3_yoy,p1_pct,p2_pct,p3_pct,p3_pct_yoy_delta,source
2026Q1,2026年第1季度,5.0,3.8,4.9,5.2,3.57,34.75,61.68,0.39,eastmoney
,,,,,,,,,,
